dataset,task_name,target,split,split_id,model,pca_dim,tabpfn_cap,model_seed,n_train,n_test,spearman,r2,mse,top5_precision,top5_mean_true,mean_true,top5_enrich_diff,top5_enrich_ratio
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,tabpfn,128,5000.0,0,6903,1725,0.18476502476806914,-0.005130410194396973,0.011742052622139454,0.11494252873563218,0.2333354502916336,0.20167693495750427,0.031658515334129333,1.15697638076858
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,tabpfn,128,5000.0,1,6903,1725,0.18174203179582532,0.018254876136779785,0.011468863114714622,0.1724137931034483,0.25118154287338257,0.20167693495750427,0.049504607915878296,1.2454648962525612
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,tabpfn,128,5000.0,2,6903,1725,0.1755343820321385,0.000988781452178955,0.011670568026602268,0.14942528735632185,0.2455650418996811,0.20167693495750427,0.04388810694217682,1.2176158961927133
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,tabpfn,128,5000.0,3,6903,1725,0.1770019353777634,0.0241396427154541,0.011400116607546806,0.14942528735632185,0.2509296238422394,0.20167693495750427,0.04925268888473511,1.2442157745758742
DMS,DMS,dms_KmCO2_logfit,pos_holdout,poscv_fold5,tabpfn,128,5000.0,4,6903,1725,0.14730190665744466,0.004281103610992432,0.011632106266915798,0.13793103448275862,0.23382972180843353,0.20167693495750427,0.03215278685092926,1.1594271891215733
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,64,,0,6902,1726,0.7918285001919843,0.6080015301704407,0.04387329891324043,0.21839080459770116,0.9098304510116577,0.508456289768219,0.4013741612434387,1.7893975732435252
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,64,,1,6902,1726,0.7884502975977317,0.610066294670105,0.043642204254865646,0.21839080459770116,0.9009429812431335,0.508456289768219,0.39248669147491455,1.7719182540820382
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,64,,2,6902,1726,0.7900647670981719,0.6113089323043823,0.04350312426686287,0.20689655172413793,0.9139271974563599,0.508456289768219,0.40547090768814087,1.7974547976837414
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,64,,3,6902,1726,0.7858199649308387,0.6026983261108398,0.044466838240623474,0.22988505747126436,0.9135330319404602,0.508456289768219,0.4050767421722412,1.7966795776228797
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,64,,4,6902,1726,0.7889091598073323,0.6071578860282898,0.04396772012114525,0.20689655172413793,0.9090376496315002,0.508456289768219,0.40058135986328125,1.7878383411205065
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,64,0.0,0,6902,1726,0.8323539777038436,0.700868546962738,0.03347942233085632,0.28735632183908044,0.9373415112495422,0.508456289768219,0.42888522148132324,1.8435046042538517
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,64,5000.0,0,6902,1726,0.8147222524937173,0.6731379628181458,0.03658309206366539,0.3103448275862069,0.930442214012146,0.508456289768219,0.421985924243927,1.8299354983616984
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,64,5000.0,1,6902,1726,0.8217775774226592,0.6826262474060059,0.03552114591002464,0.3103448275862069,0.9400947093963623,0.508456289768219,0.4316384196281433,1.8489194220114904
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,64,5000.0,2,6902,1726,0.8170250724860508,0.6732218265533447,0.036573704332113266,0.27586206896551724,0.919269323348999,0.508456289768219,0.41081303358078003,1.8079613564580943
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,64,5000.0,3,6902,1726,0.8141384376268612,0.6679772138595581,0.03716069459915161,0.3218390804597701,0.9330567121505737,0.508456289768219,0.42460042238235474,1.8350775296258206
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,64,5000.0,4,6902,1726,0.8144077191098571,0.6706502437591553,0.036861520260572433,0.26436781609195403,0.9334428906440735,0.508456289768219,0.4249866008758545,1.8358370413110352
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,128,,0,6902,1726,0.8206091992345388,0.6540541052818298,0.038718994706869125,0.22988505747126436,0.8922463059425354,0.508456289768219,0.3837900161743164,1.754814177535827
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,128,,1,6902,1726,0.8175589772367704,0.6517535448074341,0.038976483047008514,0.22988505747126436,0.9100462198257446,0.508456289768219,0.40158993005752563,1.7898219338393697
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,128,,2,6902,1726,0.8215852668665129,0.6566385626792908,0.03842973709106445,0.25287356321839083,0.9183058738708496,0.508456289768219,0.4098495841026306,1.8060665043389699
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,128,,3,6902,1726,0.8215339728216908,0.6569856405258179,0.03839089348912239,0.2413793103448276,0.911846935749054,0.508456289768219,0.40339064598083496,1.793363469187728
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,128,,4,6902,1726,0.8229238141266644,0.6585233211517334,0.03821879252791405,0.21839080459770116,0.9127855896949768,0.508456289768219,0.4043292999267578,1.7952095550063356
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,128,0.0,0,6902,1726,0.8601645952477772,0.7527773976325989,0.027669677510857582,0.3103448275862069,0.9304754137992859,0.508456289768219,0.4220191240310669,1.8300007936246503
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,128,5000.0,0,6902,1726,0.8445540208682991,0.7248382568359375,0.030796688050031662,0.3218390804597701,0.9233182668685913,0.508456289768219,0.4148619771003723,1.8159245650977947
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,128,5000.0,1,6902,1726,0.8489782716772655,0.7300359010696411,0.030214952304959297,0.2988505747126437,0.9251996874809265,0.508456289768219,0.4167433977127075,1.8196248253762008
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,128,5000.0,2,6902,1726,0.8444431583787317,0.7244218587875366,0.03084329329431057,0.2988505747126437,0.9295669794082642,0.508456289768219,0.42111068964004517,1.828214141734798
