dataset,task_name,target,split,split_id,model,pca_dim,tabpfn_cap,spearman,r2,top5_precision,top5_enrich_diff,n_runs,n_train,n_test
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold4,tabpfn,128,5000.0,0.651402231141587,0.4081725597381592,0.25747126436781603,0.3322867751121521,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold4,xgb,64,,0.5989270865328541,0.3326764822006225,0.16551724137931031,0.2750194549560546,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold4,xgb,128,,0.6373446169001711,0.3793926119804382,0.23218390804597697,0.31727060079574587,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold5,tabpfn,64,0.0,0.6300849764095781,0.3952749371528625,0.1839080459770115,0.3564848899841308,1,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold5,tabpfn,64,5000.0,0.6299793576070096,0.3960637927055359,0.17471264367816092,0.35218631029129027,5,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold5,tabpfn,128,0.0,0.6434117985219966,0.4091299176216125,0.1494252873563218,0.32921302318573,1,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold5,tabpfn,128,5000.0,0.6344791220115585,0.39708384275436404,0.15632183908045974,0.3382436513900756,5,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold5,xgb,64,,0.5968242577862528,0.358333432674408,0.14482758620689648,0.3186931014060974,5,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold5,xgb,128,,0.6124037994982771,0.3738309025764465,0.16321839080459769,0.32796661853790277,5,6903,1725
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,64,0.0,0.8323539777038436,0.700868546962738,0.2873563218390804,0.4288852214813232,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,64,5000.0,0.8164142118278293,0.673522698879242,0.296551724137931,0.4228048801422119,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,128,0.0,0.8601645952477772,0.7527773976325989,0.3103448275862069,0.4220191240310669,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,tabpfn,128,5000.0,0.8455212619291407,0.7259678483009339,0.3057471264367816,0.41760945320129395,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,64,,0.7890145379252118,0.6078465938568115,0.21609195402298847,0.4009979724884033,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed0,xgb,128,,0.8208422460572354,0.6555910348892212,0.23448275862068962,0.4005898952484131,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,64,0.0,0.8440869180985152,0.7121827006340027,0.2988505747126437,0.4235433340072632,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,64,5000.0,0.8249474637304045,0.6782079458236694,0.2827586206896551,0.4105196475982666,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,128,0.0,0.8701458413279355,0.759311318397522,0.3333333333333333,0.4175722002983093,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,128,5000.0,0.8547891138753416,0.7320646047592163,0.32413793103448274,0.41893008947372434,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,64,,0.7888809580931954,0.6028311014175415,0.2436781609195402,0.39229354858398435,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,128,,0.8225421062913487,0.6516783952713012,0.22988505747126436,0.4044646263122559,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,64,0.0,0.849583829831849,0.7237502336502075,0.3448275862068966,0.4311524629592895,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,64,5000.0,0.8325619372214532,0.6923394799232483,0.3080459770114943,0.4237066388130188,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,128,0.0,0.8682949330560965,0.7592476606369019,0.367816091954023,0.4494879245758056,1,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,128,5000.0,0.8562255943782624,0.7363178730010986,0.35402298850574715,0.43685234785079957,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,64,,0.7967886084232424,0.6129725098609924,0.31034482758620685,0.41520520448684695,5,6902,1726
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,128,,0.8330207748291144,0.6698343992233277,0.31264367816091954,0.4331884503364563,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold1,tabpfn,64,0.0,0.6707141330034803,0.4240654110908508,0.264367816091954,0.4027943611145019,1,6903,1725
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold1,tabpfn,64,5000.0,0.6654804330316069,0.4187967419624329,0.2712643678160919,0.38939436674118044,5,6903,1725
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold1,tabpfn,128,0.0,0.6988222097719452,0.4670325517654419,0.264367816091954,0.3897174000740051,1,6903,1725
